claim_or_value,source,alternative_values,adopted_value,rationale
"DID distinti nei profili","bluesky.md; notebook/script di costruzione dataset","","1222452","Valore coerente negli appunti operativi e richiesto come scala del dataset."
"File manifest marzo","bluesky.md; log manifest ufficial labeler","","4189","La manifest e' di marzo ma puo' includere eventi con timestamp fuori mese; nel report si filtra per event timestamp."
"Righe post periodo operativo","bluesky.md; utility-window notes","","36946883","Valore usato come scala dei post osservabili."
"Eventi !takedown account-level non-neg in marzo","bluesky.md; seconda_attivita notebook","rows_takedown_non_neg complessive 397990","159161","Il report usa eventi account-level con event timestamp in marzo."
"Account positivi unici in marzo","bluesky.md; seconda_attivita notebook","","158803","Account con almeno un !takedown non-neg in marzo."
"Positivi dataset operativo 11-21 marzo","blocks_signal_v3.ipynb; rf notebook","","47821","Base per analisi blocchi, labels e modlist."
"Negativi distinti","blocks_signal_v3.ipynb","","366515","Account negativi distinti nel dataset dei blocchi."
"Osservazioni negative account-giorno","blocks_signal_v3.ipynb","","4031665","Righe negative, non account distinti."
"Revoche !takedown neg=true","bluesky.md; seconda_attivita notebook","","3705; 2.2749% degli eventi","Proxy target stabile ma con eccezioni."
"Positivi con revoca successiva","bluesky.md","","2814; 1.772% dei positivi","Valore account-level, distinto dalle revoche evento."
"Account con piu' takedown","bluesky.md; seconda_attivita notebook","","325; circa 0.20%","Takedown multipli rari."
"Distanza media primo-secondo takedown","bluesky.md; seconda_attivita notebook","","31.8 ore","Usata per nota di affidabilita' proxy."
"Distanza media primo takedown-prima revoca","bluesky.md; seconda_attivita notebook","","44.4 ore","Usata per nota di affidabilita' proxy."
"Bucket 11-20 marzo account ed eventi","bluesky.md; scaletta parte report","47821 operativi 11-21","44395 account; 44462 eventi","Denominatori diversi, non sinonimi."
"Distribuzione corner","blocks_signal_v3.ipynb","","00 33.81/60.23; 0p 10.43/12.37; p0 17.21/9.99; pp 38.55/17.42","Percentuali su account distinti per sample."
"Lifetime completa corner 00","rf_and_shap_on_blocks.ipynb","","N=20205; mean 1.747585 giorni; median 0.000081","Non va confusa con media condizionata."
"Lifetime condizionata corner 00 <10 giorni","bluesky_scaletta_bozze.md; rf notebook context","","20574 totali; 19530 <10d; 94.9%; mean 0.378466 giorni","Media di circa 9.1 ore solo nel sottoinsieme condizionato."
"Blocchi corner 00","blocks_signal_v3.ipynb","","neg N=1341731 rate 1.40 mean 0.0175 unique 0.0168; pos N=28802 rate 3.71 mean 0.0867 unique 0.0861","Median zero per entrambi."
"Blocchi generali","blocks_signal_v3.ipynb","","neg N=4031665 accounts=366515 any=18.09 mean=1.1073 p95=3 unique=1.0873; pos N=47821 accounts=47821 any=27.82 mean=3.2787 p95=9 unique=3.2485","Statistiche descrittive principali sui blocchi."
"Timing blocchi no 00","blocks_signal_v3.ipynb","","neg last1=10.75 last3=31.10 earlier=68.90; pos last1=55.63 last3=78.77 earlier=21.23","day_0 e' giorno immediatamente precedente all'evento, visualizzato come -1."
"RF setup 1","rf_and_shap_on_blocks.ipynb","","circa 1000+1000; 00 incluso; 28 feature; CV F1 0.371","Esperimento preliminare."
"RF setup 2","rf_and_shap_on_blocks.ipynb","","circa 1000+1000; 00 incluso; 11 feature; CV F1 0.382","Esperimento preliminare."
"RF setup 3","rf_and_shap_on_blocks.ipynb","","circa 10000+10000; 00 incluso; 11 feature; CV F1 0.377","Esperimento preliminare."
"RF setup 4","rf_and_shap_on_blocks.ipynb","","circa 10000+10000; 00 e bucket adiacenti esclusi; 11 feature; CV F1 0.728","Non direttamente comparabile al setup principale."
"RF setup 5","rf_and_shap_on_blocks.ipynb","","quattro gruppi bilanciati; 00 incluso; 11 feature; CV F1 0.563","Usato per feature importance a 11 feature."
"RF setup 6 principale","rf_and_shap_on_blocks.ipynb","Notebook stampa lista storica di 28 feature","28650 obs; 14325 pos/14325 neg; X=(28650,11); CV F1 mean 0.687637","Scelta finale per analisi principale: 11 feature, 00 escluso, tre gruppi bilanciati."
"RF metriche principali","rf_and_shap_on_blocks.ipynb","","Accuracy 0.738519; Precision 0.853428; Recall 0.575987; F1 0.687783; ROC AUC 0.760364; CM [[9035,992],[4252,5776]]","Predizioni out-of-fold sul training, non test held-out."
"RF per corner","rf_and_shap_on_blocks.ipynb","","0p N 6656 AUC .726 F1 .630; p0 N 6768 AUC .748 F1 .660; pp N 6631 AUC .819 F1 .754","Metriche macro-gruppo su training CV."
"Feature importance","rf_and_shap_on_blocks.ipynb","","Setup 5: day_0 0.442374; 10d 0.277806; day_1 0.066383","Feature importance nativa RF; SHAP non usato."
"Labels ufficiali post-level","bluesky.md; analisi_labels_march.ipynb","","47821 positivi; 1121 con label post-level; 2.344%; sexual 761; porn 499","Distinta dal target account-level !takedown."
"Labeler terzi","bluesky.md; scaletta parte report","","Skywatch acc 2.944/0.695 lift 4.24; Blacksky acc .090/.006 lift 14.27; Profile acc 1.913/.155 lift 12.36; Skywatch post 1.094/1.209 lift .90; Blacksky post .004/.008 lift .50","Negativi talvolta campionati; segnalato in testo."
"Modlist 10d","analisi_blocklists.ipynb; bluesky.md","957 ever before takedown","929 positivi in modlist 10d; coverage 1.943%; 1033 relazioni; 73 modlist; mean included 1.09; median 1; max 7","Il report usa il valore 10-day, non ever-before."
"SHAP","rf_and_shap_on_blocks.ipynb filename; notebook code","Nome file contiene SHAP","SHAP non usato","Il report menziona solo Random Forest feature importance; SHAP solo sviluppi futuri."
